SL,Class /Tag,Pattterns,Responses
1,greeting,Hey ,"Hello,Thank you for knock me :-)"
2,greeting,Hi,"Hi,there,how can I help you ?"
3,greeting,Is anyone there ?,"Hello, how can I assist you?"
4,greeting,Hello,"Hi, how may I assist you?"
5,greeting,Good day,"Hello, what can I do to help?"
6,goodbye,Bye,"See you later,thanks for visiting"
7,goodbye,See you later,"See you later, thanks for stopping by."
8,goodbye,See you later on.,"See you later, thanks for checking in."
9,goodbye,I'll talk to you later.,"See you later, thanks for taking the time."
10,goodbye,I'll see you in a while.,"See you later,thanks for visiting"
11,goodbye,See you in a couple of minutes.,"See you later, thanks for checking in."
12,about_ubot,What is U-bot ?,"U-bot,I am A.I Powered Chatbot.U-Bot stand for Uap Bot. "
13,about_ubot,What does U-bot mean?,"U-bot,I am A.I Powered Chatbot.U-Bot stand for Uap Bot."
14,about_ubot,What does U-bot stand for?,"U-bot,I am A.I Powered Chatbot.U-Bot stand for Uap Bot."
,about_ubot,Name?,"Oh sorry, I thought you knew. My name is Ubot.I am A.I Powered Chatbot.U-Bot stand for Uap Bot. "
,about_ubot,What do people call you?,You can call me U-Bot.
,about_ubot,Do you have a name?,"U-bot,I am A.I Powered Chatbot.U-Bot stand for Uap Bot. "
,about_ubot,Who are you?,My name is U-bot.I am A.I Powered Chatbot.U-Bot stand for Uap Bot. 
,about_ubot,name,My name is U-bot I am A.I Powered Chatbot.U-Bot stand for Uap Bot. 
15,developer,Who made U-bot ?,"It build by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
16,developer,Who built  U-bot?,"It build by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
17,developer,Who created  U-bot?,"It build by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
18,developer,Who made uap cse chet bot?,"It develop by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
19,developer,Who are the developer of this chet bot ?,"It build by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
20,developer,Who are the developer of u-bot ?,"It build by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
,developer,Developer?,"I am made by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
,developer,Developer,"I am made by Ashraful Haque,Sabbir Hosen ,Mehrab Anin, Shahriar Shafin."
21,about_cse,Why should I study CSE ?,CSE means Computer Science Engineering.Computer science is a dynamic and rapidly growing area that has become an integral part of the world that we live in today. Having a degree in this field will provide you with a deep understanding of theories and emerging technologies.
22,about_cse,Why do I have to study CSE?,CSE means Computer Science Engineering.Computer science is a dynamic and rapidly growing area that has become an integral part of the world that we live in today. Having a degree in this field will provide you with a deep understanding of theories and emerging technologies.
23,about_cse,Why should I learn about CSE?,CSE means Computer Science Engineering.Computer science is a dynamic and rapidly growing area that has become an integral part of the world that we live in today. Having a degree in this field will provide you with a deep understanding of theories and emerging technologies.
24,about_cse,What is CSE ?,CSE means Computer Science Engineering.Computer science is a dynamic and rapidly growing area that has become an integral part of the world that we live in today. Having a degree in this field will provide you with a deep understanding of theories and emerging technologies.
26,about_cse,CSE ?,CSE means Computer Science Engineering.Computer science is a dynamic and rapidly growing area that has become an integral part of the world that we live in today. Having a degree in this field will provide you with a deep understanding of theories and emerging technologies.
,,,
27,semester_timing,How many semesters are offered yearly at UAP?,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
28,semester_timing,How many semesters are offered annually at UAP?,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
29,semester_timing,How many semesters are offered every year in UAP?,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
30,semester_timing,How many semesters are offered per year to UAP?,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
,semester_timing,Total semesters in Uap,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
,semester_timing,Total semesters,"UAP offers 2 semesters a year: Spring & Fall, and these start in January & July respectively"
31,,,
32,about_cse_uap,Why to choose Uap For CSE.,"The department of CSE, UAP is striving for a pioneer role in ICT through excellence in education, research and development towards preparing graduates as a global leader with quality education, innovative ideas, extra-curricular activities and collaboration between industry and academia."
33,about_cse_uap,Why CSE at UAP?,"The department of CSE, UAP is striving for a pioneer role in ICT through excellence in education, research and development towards preparing graduates as a global leader with quality education, innovative ideas, extra-curricular activities and collaboration between industry and academia."
,about_cse_uap,Cse at Uap ,"The department of CSE, UAP is striving for a pioneer role in ICT through excellence in education, research and development towards preparing graduates as a global leader with quality education, innovative ideas, extra-curricular activities and collaboration between industry and academia."
34,cse_credit,How many credits do I have to complete for CSE?,Total number of credit for Cse is162 .
35,cse_credit,How many credits are required under the CSE program?,Total number of credit for Cse is162 .
36,cse_credit,How many credits need to be obtained for CSE?,Total number of credit for Cse is162 .
37,cse_credit,How many credits do I need to obtain as part of the CSE program?,Total number of credit for Cse is162 .
,cse_credit,Total credit for CSE,Total number of credit for Cse is162 .
,cse_credit,Total credit ,Total number of credit for Cse is162 .
,,,
,admission_criteria,How apply for admission,"Generally there are two tests with a gap of one month in between. Applicants are allowed to appear in one test only (except some reasonable cases, for which the authority will follow a thorough scrutiny). All exams are conducted within the two months window before the semester class starts. Detailed timing is circulated both in daily newspapers and in our website https://cse.uap-bd.edu/noticeboard/notice/"
38,admission_criteria,How can I apply for Admission?,"Generally there are two tests with a gap of one month in between. Applicants are allowed to appear in one test only (except some reasonable cases, for which the authority will follow a thorough scrutiny). All exams are conducted within the two months window before the semester class starts. Detailed timing is circulated both in daily newspapers and in our website https://cse.uap-bd.edu/noticeboard/notice/"
39,admission_criteria,How can I apply to be admitted?,"Generally there are two tests with a gap of one month in between. Applicants are allowed to appear in one test only (except some reasonable cases, for which the authority will follow a thorough scrutiny). All exams are conducted within the two months window before the semester class starts. Detailed timing is circulated both in daily newspapers and in our website https://cse.uap-bd.edu/noticeboard/notice/"
40,admission_criteria,How do I apply for the program?,"Generally there are two tests with a gap of one month in between. Applicants are allowed to appear in one test only (except some reasonable cases, for which the authority will follow a thorough scrutiny). All exams are conducted within the two months window before the semester class starts. Detailed timing is circulated both in daily newspapers and in our website https://cse.uap-bd.edu/noticeboard/notice/"
41,admission_criteria,How do I apply to get in?,"Generally there are two tests with a gap of one month in between. Applicants are allowed to appear in one test only (except some reasonable cases, for which the authority will follow a thorough scrutiny). All exams are conducted within the two months window before the semester class starts. Detailed timing is circulated both in daily newspapers and in our website https://cse.uap-bd.edu/noticeboard/notice/"
42,online_admission,Do the applicants apply for online admission?,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
43,online_admission,Do applicants make an application online?,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
44,online_admission,Are candidates submitting an application online?,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
45,online_admission,Do candidates request admission online?,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
,online_admission,admission apply online,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
,online_admission,admission online,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
,online_admission,online admission,Applicants can apply only online for admission (https://admission.uap-bd.edu/Admission/Home.aspx).
